Metric Type,Key/Identifier,Value/Count
Log Level,1948,1
Log Level,1842,1
Log Level,1812,1
Log Level,1763,1
Log Level,1661,3
Log Level,1396,2
Log Level,1975,3
Log Level,1183,4
Log Level,1067,16
Log Level,376,23
Log Level,191,3
Log Level,187,2
Log Level,199,9
Log Level,origin software="rsyslogd" swVersion="8.2312.0" x-pid="216" x-info="https://www.rsyslog.com",1
Log Level,40,5
Log Level,1705,1
Log Level,mem 0x4000000000000-0x7ffffffffffff,3
Log Level,844,3
Log Level,mem 0x0000000000001000-0x000000000009ffff,3
Log Level,205,28
Log Level,mem 0x9ffe00000-0x9ffe02fff window,3
Log Level,mem 0x80000000000-0xfffffffffff,3
Log Level,90,3
Log Level,563,1
Log Level,mem 0x20000000000-0x3ffffffffff,3
Log Level,182,3
Log Level,mem 0x10000000000-0x1ffffffffff,3
Log Level,mem 0x1000000000-0xffffffffff,3
Log Level,1239,8
Log Level,mem 0x11f2d4-0x11f6c3,3
Log Level,mem 0x100000000000-0x1fffffffffff,3
Log Level,mem 0x04be4000-0x04e8bfff,3
Log Level,mem 0x000a0000-0x000fffff,3
Log Level,mem 0x00000000-0x00000fff,6
Log Level,mem 0x800000000000-0xffffffffffff,3
Log Level,161,2
Log Level,mem 0x0000000000200000-0x00000000f7ffffff,6
Log Level,mem 0x11f6c4-0x11f7ab,3
Log Level,UNKNOWN,1085
Log Level,1165,1
Log Level,mem 0x8000000000000-0xfffffffffffff,3
Log Level,mem 0x0000000000001000-0x00000001fe1fffff,3
Log Level,mem 0x00000000000e0000-0x00000000000e0fff,3
Log Level,62,2
Log Level,11543,4
Log Level,11,3
Log Level,936,3
Log Level,43,20
Log Level,212,11
Log Level,1313,1
Log Level,1af4:1043,3
Log Level,mem 0x00000000-0xf7ffffff,6
Log Level,AC1,3
Log Level,94,1
Log Level,167,57
Log Level,mem 0x101154-0x1011b7,3
Log Level,1137,6
Log Level,1334,58
Log Level,origin software="rsyslogd" swVersion="8.2312.0" x-pid="225" x-info="https://www.rsyslog.com",1
Log Level,11324,4
Log Level,mem 0x9ffe00000-0x9ffe00fff 64bit,6
Log Level,114,2
Log Level,76,1
Log Level,mem 0x101000-0x101113,3
Log Level,mem 0xf8000000-0xffffffff,6
Log Level,171,9
Log Level,2319,1
Log Level,mem 0x000e1000-0x000fffff,3
Log Level,451,25
Log Level,mem 0xe00000000-0xe00000fff 64bit,6
Log Level,186,17
Log Level,2421,1
Log Level,2368,2
Log Level,11506,1
Log Level,mem 0x0000000000100000-0x00000000001fffff,3
Log Level,mem 0x0000000000001000-0x00000000ffffffff,3
Log Level,mem 0x1011b8-0x11f2d3,3
Log Level,155,15
Log Level,2,3
Log Level,0-7,3
Log Level,1898,4
Log Level,190,3
Log Level,mem 0x0000000000000000-0x000000000009ffff,3
Log Level,origin software="rsyslogd" swVersion="8.2312.0" x-pid="184" x-info="https://www.rsyslog.com",1
Log Level,mem 0x0000000100000000-0x00000001fe1fffff,9
Log Level,mem 0x100000000-0x1fe1fffff,3
Log Level,bus 00-ff,18
Log Level,0x01,3
Log Level,mem 0x2000000000000-0x3ffffffffffff,3
Log Level,0,9
Log Level,1180,1
Log Level,169,3
Log Level,mem 0x000e0000-0x000e0fff,3
Log Level,mem 0x000a0000-0x000dffff,3
Log Level,mem 0x00100000-0x001fffff,3
Log Level,v8.2312.0,4
Log Level,mem 0x1fe200000-0x9ffdfffff,3
Log Level,origin software="rsyslogd" swVersion="8.2312.0" x-pid="207" x-info="https://www.rsyslog.com",1
Log Level,mem 0x1fe1de000-0x1fe1fffff,3
Log Level,sda,15
Log Level,mem 0x1000000000000-0x1ffffffffffff,3
Log Level,mem 0x00000000f4000000-0x00000000f8000000,3
Log Level,1,784
Log Level,113,37
Log Level,sdc,18
Log Level,2473,8
Log Level,mem 0xe00001000-0xe00001fff 64bit,6
Log Level,1414:008e,3
Log Level,1711,1
Log Level,sdb,15
Log Level,mem 0x400000000000-0x7fffffffffff,3
Log Level,hvc0,3
Log Level,mem 0xc00000000-0xe00001fff window,3
Log Level,mem 0x40000000000-0x7ffffffffff,3
Log Level,mem 0xc00000000-0xdffffffff 64bit,6
Log Level,sdd,18
Log Level,367,23
Log Level,2016,1
Log Level, misc dxg: dxgk: dxgkio_query_adapter_info: Ioctl failed: -22,4
Log Level,179,19
Log Level,189,9
Log Level,BAT1,3
Log Level,1650,1
Log Level,192,19
Log Level,323,1
Log Level,326,1
Log Level,176,4
Log Level,698,3
Log Level,mem 0x200000000000-0x3fffffffffff,3
Log Level,1232,17
Log Level,1482,1
Log Level,160,3
Log Level,mem 0x9ffe01000-0x9ffe01fff 64bit,6
Log Level,mem 0x9ffe02000-0x9ffe02fff 64bit,6
Log Level,origin software="rsyslogd" swVersion="8.2312.0" x-pid="191" x-info="https://www.rsyslog.com",1
Log Level,183,2
Log Level,322,1
Log Level,428,23
Log Level,mem 0x101114-0x101153,3
Log Level,578,1
Log Level,1af4:105a,3
Log Level,89,1
Log Level,95,3
Log Level,175,100
Log Level,172,9
Log Level,1781,16
Log Level,166,2
Log Level,338,22
Log Level,156,4
Log Level,165,6
Log Level,77,1
Root Cause Pattern,network issue,3
Root Cause Pattern,login activity,4
Root Cause Pattern,security event,13
Root Cause Pattern,memory issue,37
Root Cause Pattern,generic error,8
Root Cause Pattern,disk issue,15
Root Cause Pattern,cpu issue,72
Root Cause Pattern,other,2748
System Peak,Traffic Peak Hour,0:00
